file,line,method,discovery_reason,status,text
ui/atlas.gd,9,<file>,constant,UNREVIEWED,const CACHE_CAPACITY := 256
ui/atlas.gd,14,<file>,visual_literal,UNREVIEWED,var _frame_scale := Vector2.ONE
ui/atlas.gd,28,load_atlas,visual_literal,UNREVIEWED,"var declared_size := Vector2(float(declared.get(""w"", 0)), float(declared.get(""h"", 0)))"
ui/atlas.gd,51,frame,visual_literal,UNREVIEWED,var scaled_end := Vector2(src.end) * _frame_scale
ui/atlas.gd,52,frame,visual_literal,UNREVIEWED,src.position = Vector2i((Vector2(src.position) * _frame_scale).round())
ui/begin_guide_bar.gd,12,<file>,constant;visual_literal,UNREVIEWED,"const DESIGN_SPACE := Vector2(3840, 2160)"
ui/begin_guide_bar.gd,15,<file>,constant;visual_literal,UNREVIEWED,"const DEFAULT_POSITION := Vector2(2067.3, 65.0)"
ui/begin_guide_bar.gd,16,<file>,constant;visual_literal,UNREVIEWED,"const DEFAULT_SIZE := Vector2(1200, 460)"
ui/begin_guide_bar.gd,17,<file>,constant;visual_literal,UNREVIEWED,"const CLOSE_RECT := Rect2(1149.1, 410.0, 80, 80)"
ui/begin_guide_bar.gd,18,<file>,constant;visual_literal,UNREVIEWED,"const IMAGE_RECT := Rect2(-356, 30, 400, 400)"
ui/begin_guide_bar.gd,19,<file>,constant;visual_literal,UNREVIEWED,"const TEXT_RECT := Rect2(35, 35, 1130, 390)"
ui/begin_guide_bar.gd,20,<file>,constant;visual_literal,UNREVIEWED,"const RING_RECT := Rect2(-263, -219.5, 314, 225)"
ui/begin_guide_bar.gd,41,<file>,constant,UNREVIEWED,"const TEXT_BG_PATH := ""res://assets/original/ui/text_bg_2.png"""
ui/begin_guide_bar.gd,42,<file>,constant,UNREVIEWED,"const CLOSE_TEXTURE_PATH := ""res://assets/original/ui/close_1.png"""
ui/begin_guide_bar.gd,63,_ready,visual_literal,UNREVIEWED,position = Vector2.ZERO
ui/begin_guide_bar.gd,70,apply_source_layout,visual_literal,UNREVIEWED,position = Vector2.ZERO
ui/begin_guide_bar.gd,72,apply_source_layout,visual_literal,UNREVIEWED,"scale = Vector2(view_size.x / DESIGN_SPACE.x, view_size.y / DESIGN_SPACE.y)"
ui/begin_guide_bar.gd,88,_build_source_default,visual_literal,UNREVIEWED,background.position = Vector2.ZERO
ui/begin_guide_bar.gd,114,_build_source_default,visual_literal,UNREVIEWED,"_label.add_theme_color_override(""font_color"", Color(""#000000""))"
ui/cached_events_view.gd,19,<file>,constant;visual_literal,UNREVIEWED,"const DESIGN_SIZE := Vector2(3840, 2160)"
ui/cached_events_view.gd,24,<file>,constant;visual_literal,UNREVIEWED,"const TRAY_RECT := Rect2(0.0, 1352.0, 3840.0, 128.0)"
ui/cached_events_view.gd,30,<file>,constant,UNREVIEWED,const LAYOUT_PADDING_RIGHT := 100.0
ui/cached_events_view.gd,31,<file>,constant,UNREVIEWED,const LAYOUT_SPACING := 50.0
ui/cached_events_view.gd,35,<file>,constant;visual_literal,UNREVIEWED,"const ITEM_SIZE := Vector2(112.5, 117.0)"
ui/cached_events_view.gd,36,<file>,constant;visual_literal,UNREVIEWED,"const ICON_SIZE := Vector2(96.0, 96.0)  # authored 192x192 on a 0.5 child scale"
ui/cached_events_view.gd,37,<file>,constant;visual_literal,UNREVIEWED,"const NEW_DOT_SIZE := Vector2(85.5, 85.5)"
ui/cached_events_view.gd,38,<file>,constant;visual_literal,UNREVIEWED,"const NEW_DOT_POS := Vector2(61.85, -30.05)  # anchors (1,1) pos (-7.9,-12.7)"
ui/cached_events_view.gd,47,<file>,constant,UNREVIEWED,const SHAKE_TIME := 10.0
ui/cached_events_view.gd,48,<file>,constant,UNREVIEWED,const SHAKE_MAX_SPEED := 2.0
ui/cached_events_view.gd,49,<file>,constant,UNREVIEWED,const SHAKE_FREQ := 40.0
ui/cached_events_view.gd,50,<file>,constant;visual_literal,UNREVIEWED,"const SHAKE_AMPLITUDE := Vector2(0.2, -0.2)"
ui/cached_events_view.gd,113,_make_item,visual_literal,UNREVIEWED,icon.position = Vector2(
ui/cached_events_view.gd,130,_make_item,motion,UNREVIEWED,"## padding.right, spacing 50 between item edges, vertically centred in the"
ui/cached_events_view.gd,143,_layout_items,visual_literal,UNREVIEWED,"item.position = Vector2(x, y)"
ui/cached_events_view.gd,186,_unity_rect,declared_gap,UNREVIEWED,## the exact perlin curve is a registered visual approximation).
ui/cached_events_view.gd,197,_unity_rect,visual_literal,UNREVIEWED,var _max_speed := 2.0
ui/cached_events_view.gd,199,_unity_rect,visual_literal,UNREVIEWED,"var _amplitude := Vector2(0.2, -0.2)"
ui/cached_events_view.gd,205,_init,visual_literal,UNREVIEWED,"shake_max_speed: float = 2.0,"
ui/cached_events_view.gd,207,_init,visual_literal,UNREVIEWED,"shake_amplitude: Vector2 = Vector2(0.2, -0.2)"
ui/cached_events_view.gd,234,_process,motion,UNREVIEWED,"# [SRC: Shaker.c Update — time decays toward 0 (SmoothDamp maxSpeed),"
ui/cached_events_view.gd,241,_process,motion,UNREVIEWED,"sin(_shake_phase * 0.37 + _shake_seed * 6.2832),"
ui/cached_events_view.gd,242,_process,motion,UNREVIEWED,sin(_shake_phase * 0.53 + _shake_seed * 12.5664)
ui/cached_events_view.gd,245,_process,visual_literal,UNREVIEWED,"position = _origin + Vector2(n.x * _amplitude.x, n.y * _amplitude.y) * falloff"
ui/card_flash.gdshader,7,<file>,visual_literal,UNREVIEWED,uniform float outline_width = 0.08;
ui/card_info_view.gd,30,_drop_data,constant;visual_literal,UNREVIEWED,"const DESIGN_SIZE := Vector2(3840, 2160)"
ui/card_info_view.gd,31,_drop_data,constant;visual_literal,UNREVIEWED,"const PANEL_SIZE := Vector2(2510, 1077)"
ui/card_info_view.gd,100,_build_panel,visual_literal,UNREVIEWED,_panel.position = (DESIGN_SIZE - PANEL_SIZE) * 0.5
ui/card_info_view.gd,109,_build_panel,visual_literal,UNREVIEWED,"var panel_scale := float(variable.get(""ui_size"", {}).get(preferences.font_size, 1.0))"
ui/card_info_view.gd,111,_build_panel,visual_literal,UNREVIEWED,_panel.scale = Vector2.ONE * panel_scale
ui/card_info_view.gd,143,_apply_layout,visual_literal,UNREVIEWED,_source_canvas.position = Vector2.ZERO
ui/card_info_view.gd,145,_apply_layout,visual_literal,UNREVIEWED,"_source_canvas.scale = Vector2(view_size.x / DESIGN_SIZE.x, view_size.y / DESIGN_SIZE.y)"
ui/card_info_view.gd,151,_apply_layout,visual_literal,UNREVIEWED,"## y-axis flip; e.g. Content resolves to Rect2(270,80,1550,185) on the panel)."
ui/card_info_view.gd,171,_place,visual_literal,UNREVIEWED,"static func _place(parent: Control, rect: Rect2, node: Control, pivot_scale: Vector2 = Vector2.ONE) -> void:"
ui/card_info_view.gd,217,_build_name,visual_literal,UNREVIEWED,"var rect := _unity_rect(PANEL_SIZE, Vector2(0, 1), Vector2(0, 1), Vector2(1911, -89), Vector2(435.55, 71.58), Vector2(0, 1))"
ui/card_info_view.gd,224,_build_name,visual_literal,UNREVIEWED,"_name_label = _label(str(_card_display_name(card)), 56, Color(""#f2e3c0""))"
ui/card_info_view.gd,232,_build_name,visual_literal,UNREVIEWED,"var type_rect := _unity_rect(rect.size, Vector2.ZERO, Vector2.ZERO, Vector2(0, -10), Vector2(36, 58), Vector2(0, 1))"
ui/card_info_view.gd,233,_build_name,visual_literal,UNREVIEWED,"var type_icon := _texture_rect(""card_type_%s.png"" % str(card.get(""type"", ""item"")), Vector2(36, 58))"
ui/card_info_view.gd,236,_build_name,visual_literal,UNREVIEWED,"_place(_panel, Rect2(rect.position + type_rect.position, type_rect.size), type_icon, Vector2(1.5, 1.5))"
ui/card_info_view.gd,238,_build_name,visual_literal,UNREVIEWED,"var title_rect := _unity_rect(Vector2(36, 58), Vector2(1, 0.5), Vector2(1, 0.5), Vector2(10, 0), Vector2(300, 50), Vector2(0, 0.5))"
ui/card_info_view.gd,241,_build_name,visual_literal,UNREVIEWED,"_title_label = _label(str(card.get(""title"", """")), 30, Color(""#d8c088""))"
ui/card_info_view.gd,244,_build_name,visual_literal,UNREVIEWED,"_place(_panel, Rect2(rect.position + type_rect.position + title_local, title_rect.size), _title_label, Vector2(1.5, 1.5))"
ui/card_info_view.gd,250,_build_content,visual_literal,UNREVIEWED,"var rect := _unity_rect(PANEL_SIZE, Vector2(0, 1), Vector2(1, 1), Vector2(-210, -80), Vector2(-960, 185), Vector2(0.5, 1))"
ui/card_info_view.gd,259,_build_content,visual_literal,UNREVIEWED,"_content_label.add_theme_color_override(""default_color"", Color(""#efe4c2""))"
ui/card_info_view.gd,270,_build_rare,visual_literal,UNREVIEWED,"var rect := _unity_rect(PANEL_SIZE, Vector2(0, 1), Vector2(0, 1), Vector2(144.2, -163.3), Vector2(147, 249), Vector2(0.5, 0.5))"
ui/card_info_view.gd,275,_build_rare,visual_literal,UNREVIEWED,"var rare_bg := _texture_rect(rare_file, Vector2(147, 249))"
ui/card_info_view.gd,283,_build_rare,visual_literal,UNREVIEWED,"var text_rect := _unity_rect(Vector2(147, 249), Vector2(0.5, 0.5), Vector2(0.5, 0.5), Vector2(-13.03, 0), Vector2(120.93, 50), Vector2(0.5, 0.5))"
ui/card_info_view.gd,294,_build_tag_area,visual_literal,UNREVIEWED,"var rect := _unity_rect(PANEL_SIZE, Vector2(0, 0), Vector2(0, 1), Vector2(823.16, -142.69), Vector2(1336.7, -429.24), Vector2(0.5, 0.5))"
ui/card_info_view.gd,300,_build_tag_area,visual_literal,UNREVIEWED,"var state_rect := _unity_rect(rect.size, Vector2(0, 1), Vector2(0, 1), Vector2.ZERO, Vector2(1400, 58.92), Vector2(0, 1))"
ui/card_info_view.gd,305,_build_tag_area,visual_literal,UNREVIEWED,"var state_title := _label(""属性"", 40, Color(""#e8d8a8""))"
ui/card_info_view.gd,308,_build_tag_area,visual_literal,UNREVIEWED,"_place(state_bar, Rect2(0, 0, 200, 50), state_title)"
ui/card_info_view.gd,316,_build_tag_area,visual_literal,UNREVIEWED,"_place(area, Rect2(0.01, 58.915, 1700, 419.49), _state_bar_chips)"
ui/card_info_view.gd,319,_build_tag_area,visual_literal,UNREVIEWED,"var tags_rect := _unity_rect(rect.size, Vector2.ZERO, Vector2.ZERO, Vector2(0, 58.52), Vector2(1400, 102.09), Vector2.ZERO)"
ui/card_info_view.gd,325,_build_tag_area,visual_literal,UNREVIEWED,"var tag_title := _label(""标签"", 40, Color(""#e8d8a8""))"
ui/card_info_view.gd,328,_build_tag_area,visual_literal,UNREVIEWED,"_place(tags_area, Rect2(0, 0, 200, 50), tag_title)"
ui/card_info_view.gd,332,_build_tag_area,visual_literal,UNREVIEWED,"_place(tags_area, Rect2(10, 59.79, 1390, 50), _tag_chips)"
ui/card_info_view.gd,354,_fill_attribute_chips,visual_literal,UNREVIEWED,"chip.size = Vector2(400, 120)"
ui/card_info_view.gd,355,_fill_attribute_chips,visual_literal,UNREVIEWED,"chip.position = Vector2((index % columns) * 420, top + (index / columns) * 120)"
ui/card_info_view.gd,362,_fill_attribute_chips,visual_literal,UNREVIEWED,"icon.position = Vector2(0, 6.8)"
ui/card_info_view.gd,363,_fill_attribute_chips,visual_literal,UNREVIEWED,"icon.size = Vector2(86.4, 86.4)"
ui/card_info_view.gd,365,_fill_attribute_chips,visual_literal,UNREVIEWED,"var title := _label(attr, 30, Color(""#ddd5c4""))"
ui/card_info_view.gd,369,_fill_attribute_chips,visual_literal,UNREVIEWED,"_place(chip, Rect2(98.4, 2, 154, 80), title, Vector2(1.2, 1.2))"
ui/card_info_view.gd,370,_fill_attribute_chips,visual_literal,UNREVIEWED,"var count := _label(str(value), 30, Color(""#ddd5c4""))"
ui/card_info_view.gd,374,_fill_attribute_chips,visual_literal,UNREVIEWED,"var arrow := _texture_rect(""upper.png"" if diff > 0 else ""lower.png"", Vector2(23, 32))"
ui/card_info_view.gd,376,_fill_attribute_chips,visual_literal,UNREVIEWED,"_place(chip, Rect2(31.7, 54.76, 27.6, 38.4), arrow)"
ui/card_info_view.gd,381,_fill_attribute_chips,visual_literal,UNREVIEWED,"_place(chip, Rect2(283.2, 2, 66, 80), count, Vector2(1.2, 1.2))"
ui/card_info_view.gd,394,_fill_tag_chips,visual_literal,UNREVIEWED,"var chip := _label(str(node[""_source_name""]), 30, Color(""#ddd5c4""))"
ui/card_info_view.gd,396,_fill_tag_chips,visual_literal,UNREVIEWED,"chip.size = Vector2(60, 40)"
ui/card_info_view.gd,397,_fill_tag_chips,visual_literal,UNREVIEWED,"chip.position = Vector2(x, y)"
ui/card_info_view.gd,410,_fill_state_icons,visual_literal,UNREVIEWED,"row.position = Vector2(title.get_minimum_size().x + 10, 15.92)"
ui/card_info_view.gd,416,_fill_state_icons,visual_literal,UNREVIEWED,"var icon := _texture_rect(file_name, Vector2(43, 43))"
ui/card_info_view.gd,424,_tag_chip,visual_literal,UNREVIEWED,"chip.add_theme_stylebox_override(""panel"", _colored_text_style(Color(0.08, 0.06, 0.04, 0.65), Color(0.5, 0.38, 0.2, 0.8)))"
ui/card_info_view.gd,425,_tag_chip,visual_literal,UNREVIEWED,"var content := _label(text, font_size, Color(""#f4e6c0""))"
ui/card_info_view.gd,433,_tag_chip,visual_literal,UNREVIEWED,"chip.custom_minimum_size = Vector2(60, 40)"
ui/card_info_view.gd,434,_tag_chip,visual_literal,UNREVIEWED,"chip.size = Vector2(60, 40)"
ui/card_info_view.gd,436,_tag_chip,visual_literal,UNREVIEWED,"chip.size = Vector2(maxf(64.0, content.get_minimum_size().x + 24.0), 40.0)"
ui/card_info_view.gd,444,_build_main_icon,visual_literal,UNREVIEWED,"var rect := _unity_rect(PANEL_SIZE, Vector2(0.5, 0.5), Vector2(0.5, 0.5), Vector2(1020, 89), Vector2(1000, 1100), Vector2(0.5, 0.5))"
ui/card_info_view.gd,450,_build_main_icon,visual_literal,UNREVIEWED,"var icon_rect := _unity_rect(rect.size, Vector2(0.5, 0), Vector2(0.5, 0), Vector2(-30, 431), Vector2(471, 1028), Vector2(0.5, 0.5))"
ui/card_info_view.gd,472,_build_decorate,visual_literal,UNREVIEWED,"var rect := _unity_rect(PANEL_SIZE, Vector2(0.5, 0.5), Vector2(0.5, 0.5), Vector2(1108, -364), Vector2(250, 323), Vector2(0.5, 0.5))"
ui/card_info_view.gd,473,_build_decorate,visual_literal,UNREVIEWED,"var decorate := _texture_rect(""decorate.png"", Vector2(250, 323))"
ui/card_info_view.gd,482,_build_equips,visual_literal,UNREVIEWED,"var rect := _unity_rect(PANEL_SIZE, Vector2(1, 0.5), Vector2(1, 0.5), Vector2(-680, -100), Vector2(402.65, 500.57), Vector2(0.5, 0.5))"
ui/card_info_view.gd,507,_build_equips,visual_literal,UNREVIEWED,"var origin := Vector2(260, -50) if column == 0 else Vector2(150, -150)"
ui/card_info_view.gd,508,_build_equips,visual_literal,UNREVIEWED,"var step := Vector2(20, 100) if column == 0 else Vector2(5, 125)"
ui/card_info_view.gd,511,_build_equips,visual_literal,UNREVIEWED,"widget.position = rect.size * 0.5 + Vector2(source_pos.x, -source_pos.y) - widget.pivot_offset"
ui/card_info_view.gd,516,_build_equips,visual_literal,UNREVIEWED,"var state_rect := _unity_rect(PANEL_SIZE, Vector2(1, 1), Vector2(1, 1), Vector2(-442, -34.5), Vector2(354.22, 100), Vector2(0.5, 0.5))"
ui/card_info_view.gd,548,_fill_equipment_slots,visual_literal,UNREVIEWED,"var slot_view := _texture_rect(""equip_slot.png"", Vector2(60, 63))"
ui/card_info_view.gd,552,_fill_equipment_slots,visual_literal,UNREVIEWED,"_place(parent, Rect2(index * 80, 18.5, 60, 63), slot_view)"
ui/card_info_view.gd,554,_fill_equipment_slots,visual_literal,UNREVIEWED,"var type_icon := _texture_rect(str(sprites[code][1 if occupied else 0]) + "".png"", Vector2(36, 58))"
ui/card_info_view.gd,556,_fill_equipment_slots,visual_literal,UNREVIEWED,"_place(slot_view, Rect2(12, 2.5, 36, 58), type_icon)"
ui/card_info_view.gd,564,_equip_row,visual_literal,UNREVIEWED,"var icon := _texture_rect(""equip_slot.png"", Vector2(60, 63))"
ui/card_info_view.gd,568,_equip_row,visual_literal,UNREVIEWED,"var name_label := _label(""%s  %s"" % [slot if not slot.is_empty() else ""附着"", str(equipment.get(""name"", equipment.get(""id"", ""?"")))], 30, Color(""#efe4c2""))"
ui/card_info_view.gd,579,_build_close,visual_literal,UNREVIEWED,"var rect := _unity_rect(PANEL_SIZE, Vector2(1, 1), Vector2(1, 1), Vector2(-80.2, -82), Vector2(80, 82), Vector2(0.5, 0.5))"
ui/card_info_view.gd,600,_build_close,visual_literal,UNREVIEWED,"icon.size = Vector2(43, 37)"
ui/card_info_view.gd,601,_build_close,visual_literal,UNREVIEWED,"icon.position = Vector2((80 - 43) * 0.5, (82 - 37) * 0.5)"
ui/card_info_view.gd,612,_build_help_button,visual_literal,UNREVIEWED,"var rect := _unity_rect(PANEL_SIZE, Vector2(1, 0), Vector2(1, 0), Vector2(-23, 67), Vector2(88, 91), Vector2(0.5, 0.5))"
ui/card_info_view.gd,627,_build_help_button,visual_literal,UNREVIEWED,"icon.size = Vector2(88, 91)"
ui/card_info_view.gd,628,_build_help_button,visual_literal,UNREVIEWED,icon.position = Vector2.ZERO
ui/card_info_view.gd,645,_toggle_help,visual_literal,UNREVIEWED,_help_overlay.position = Vector2.ZERO
