file,lines_scanned,candidates
ui/atlas.gd,70,5
ui/audio_manager.gd,118,0
ui/begin_guide_bar.gd,190,14
ui/cached_events_view.gd,245,24
ui/card_flash.gdshader,31,1
ui/card_info_view.gd,749,81
ui/card_metal.gdshader,95,3
ui/card_tag_presentation.gd,42,0
ui/card_widget.gd,948,86
ui/change_name_view.gd,308,30
ui/credits_controller.gd,166,7
ui/credits_group.gd,61,10
ui/credits_member.gd,52,8
ui/credits_page.gd,95,11
ui/credits_page_contributor.gd,58,5
ui/credits_page_developer.gd,48,21
ui/credits_page_thanks.gd,145,12
ui/esc_game_panel.gd,144,23
ui/event_prompt_view.gd,511,43
ui/gallery_card_info.gd,554,67
ui/gallery_panel.gd,697,60
ui/game.gd,609,6
ui/game_application_settings.gd,247,3
ui/game_over.gd,379,31
ui/game_screen.gd,2139,149
ui/hand_bag_tabs.gd,48,6
ui/main_help.gd,163,21
ui/main_menu.gd,414,44
ui/map_controller.gd,1083,106
ui/over_new_after_story_item.gd,99,15
ui/over_new_step2.gd,243,28
ui/over_new_step2_story.gd,544,42
ui/over_node_view.gd,157,20
ui/over_record_view.gd,86,6
ui/point_shop_controller.gd,276,26
ui/point_shop_item_controller.gd,154,17
ui/rite_slot_access.gd,21,0
ui/rite_sprite_surface.gd,33,3
ui/rite_view.gd,1971,111
ui/settings_panel.gd,420,58
ui/situation_desk.gd,3,0
ui/source_confirm_dialog.gd,146,17
ui/source_confirm_tint.gd,30,5
ui/source_hand_layout.gd,84,2
ui/source_layout_axis.gd,43,1
ui/source_menu_button.gd,37,1
ui/source_number.gd,48,1
ui/source_prompt_icons.gd,87,1
ui/source_rich_text.gd,34,0
ui/source_text_style.gd,75,1
ui/story_controller.gd,300,32
ui/story_item_controller.gd,114,11
ui/story_notify_controller.gd,154,18
ui/story_target_item_controller.gd,81,5
ui/theme.gd,120,21
ui/user_archive_panel.gd,439,50
sim/card_instance.gd,106,0
sim/condition.gd,999,1
sim/deferred_effects.gd,323,0
sim/dsl_audit.gd,451,0
sim/event_runtime.gd,242,0
sim/game_state.gd,2419,8
sim/global_extensions.gd,116,1
sim/global_state.gd,255,4
sim/methinks.gd,90,0
sim/operation_filter.gd,84,0
sim/operations_extensions.gd,150,0
sim/original_save_importer.gd,902,4
sim/original_save_schema.gd,220,0
sim/over_record_store.gd,196,1
sim/result.gd,1312,2
sim/rite_instance.gd,58,0
sim/rite_open.gd,39,0
sim/rite_resolver.gd,105,0
sim/round_loop.gd,695,0
sim/save_system.gd,834,4
sim/sudan_cards.gd,80,0
core/branch.gd,46,0
core/counter.gd,81,1
core/dice.gd,83,0
core/loot.gd,119,0
core/rng.gd,89,0
core/scope_filter.gd,94,8
core/tag.gd,49,0
scenes/main.tscn,12,0
