"ID","Name","Location","AutoBegin","AutoResult","RoundNumber","WaitingRound","SlotConditions","OriginalConfigPath"
"5000001","治理家业","自宅:1","1","1","1","0","s1: type=char, 贵族=1 / s2: type=char / s3: type=item, 装潢=1 / s4: type=item, !金币=1, any={""cost.消耗品="":1,""is"":2001303,""空屋"":1}","data/config/rite/5000001.json"
"5000002","俺寻思","自宅:2","0","0","0","0","s1: any","data/config/rite/5000002.json"
"5000003","在家行淫","自宅:[2,12]","0","0","1","1","s1: type=sudan, 纵欲=1 / s2: 主角=1, type=char / s3: type=char, any={""!怪物"":1,""is"":2000433,""荆棘戒指"":1}, !主角=1 / s4: type=item, 激情=1, !is=2001138","data/config/rite/5000003.json"
"5000004","残忍的牺牲","自宅:[2,12]","0","0","1","1","s1: type=sudan, 杀戮=1 / s2: 主角=1, type=char / s3: 追随者=1, f:rare-s1.rare>==0, type=char, any={""!怪物"":1,""荆棘戒指"":1}, !主角=1","data/config/rite/5000004.json"
"5000005","稍加整修","自宅:[2,12]","0","0","1","1","s1: type=sudan, 奢靡=1, rare==1 / s2: type=item, cost.金币=3","data/config/rite/5000005.json"
"5000006","全面整修","自宅:[2,12]","0","0","1","1","s1: type=sudan, 奢靡=1, rare==2 / s2: type=item, cost.金币=5","data/config/rite/5000006.json"
"5000007","扩建","自宅:[2,12]","0","0","1","1","s1: type=sudan, 奢靡=1, rare==3 / s2: type=item, cost.金币=10","data/config/rite/5000007.json"
"5000008","大兴土木","自宅:[2,12]","0","0","1","1","s1: type=sudan, 奢靡=1, rare==4 / s2: type=item, cost.金币=20","data/config/rite/5000008.json"
"5000009","消除妻子的不满","自宅:[2,12]","0","0","1","1","s1: type=char, 妻子=1 / s2: any={""all"":{""is"":2000689,""cost.可堆叠="":1},""is"":2001292} / s3: 主角=1, type=char / s4: is=2000083","data/config/rite/5000009.json"
"5000010","看书","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, 读物=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000010.json"
"5000011","特殊的餐点","自宅:[2,12]","0","0","0","1","s1: type=item, 正在进食=1, 食物=1 / s2: type=char","data/config/rite/5000011.json"
"5000012","匕首与弯刀","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000203, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000012.json"
"5000013","古典摔跤","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000204, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""智慧>="":2,""is"":2000123}","data/config/rite/5000013.json"
"5000014","军用长矛指南","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000205, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000014.json"
"5000015","马上竞技","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000206, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000015.json"
"5000016","夜间的战斗","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000207, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""智慧>="":3,""is"":2000123}","data/config/rite/5000016.json"
"5000017","以弱胜强","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000208, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""智慧>="":4,""is"":2000123}","data/config/rite/5000017.json"
"5000018","体面","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000209, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000018.json"
"5000019","圣训六十篇","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000210, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000019.json"
"5000020","宫廷礼仪指南","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000211, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000020.json"
"5000021","文书的工作","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000212, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000021.json"
"5000022","艾娃日记","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000213, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000022.json"
"5000023","相面术","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000214, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000023.json"
